Ecm (MeV) cross (mb)
0.352	5.68E-16
0.353	6.31E-16
0.354	7.01E-16
0.355	7.80E-16
0.356	8.69E-16
0.357	9.69E-16
0.358	1.08E-15
0.359	1.21E-15
0.36	1.36E-15
0.361	1.52E-15
0.362	1.71E-15
0.363	1.92E-15
0.364	2.16E-15
0.365	2.43E-15
0.366	2.74E-15
0.367	3.10E-15
0.368	3.49E-15
0.369	3.94E-15
0.37	4.43E-15
0.371	4.98E-15
0.372	5.57E-15
0.373	6.20E-15
0.374	6.87E-15
0.375	7.56E-15
0.376	8.25E-15
0.377	8.94E-15
0.378	9.61E-15
0.379	1.02E-14
0.38	1.09E-14
0.381	1.14E-14
0.382	1.20E-14
0.383	1.25E-14
0.384	1.30E-14
0.385	1.34E-14
0.386	1.39E-14
0.387	1.44E-14
0.388	1.50E-14
0.389	1.56E-14
0.39	1.62E-14
0.391	1.68E-14
0.392	1.75E-14
0.393	1.83E-14
0.394	1.92E-14
0.395	2.01E-14
0.396	2.11E-14
0.397	2.22E-14
0.398	2.34E-14
0.399	2.47E-14
0.4	2.61E-14
0.401	2.76E-14
0.402	2.92E-14
0.403	3.10E-14
0.404	3.29E-14
0.405	3.49E-14
0.406	3.72E-14
0.407	3.96E-14
0.408	4.22E-14
0.409	4.50E-14
0.41	4.80E-14
0.411	5.13E-14
0.412	5.48E-14
0.413	5.87E-14
0.414	6.28E-14
0.415	6.73E-14
0.416	7.22E-14
0.417	7.75E-14
0.418	8.32E-14
0.419	8.95E-14
0.42	9.64E-14
0.421	1.04E-13
0.422	1.12E-13
0.423	1.21E-13
0.424	1.31E-13
0.425	1.41E-13
0.426	1.53E-13
0.427	1.65E-13
0.428	1.79E-13
0.429	1.93E-13
0.43	2.07E-13
0.431	2.22E-13
0.432	2.38E-13
0.433	2.54E-13
0.434	2.69E-13
0.435	2.85E-13
0.436	3.02E-13
0.437	3.19E-13
0.438	3.36E-13
0.439	3.55E-13
0.44	3.75E-13
0.441	3.96E-13
0.442	4.19E-13
0.443	4.43E-13
0.444	4.70E-13
0.445	4.99E-13
0.446	5.29E-13
0.447	5.63E-13
0.448	5.98E-13
0.449	6.37E-13
0.45	6.78E-13
0.451	7.23E-13
0.452	7.71E-13
0.453	8.22E-13
0.454	8.78E-13
0.455	9.37E-13
0.456	1.00E-12
0.457	1.07E-12
0.458	1.14E-12
0.459	1.22E-12
0.46	1.31E-12
0.461	1.40E-12
0.462	1.50E-12
0.463	1.61E-12
0.464	1.72E-12
0.465	1.85E-12
0.466	1.98E-12
0.467	2.13E-12
0.468	2.28E-12
0.469	2.45E-12
0.47	2.64E-12
0.471	2.84E-12
0.472	3.05E-12
0.473	3.29E-12
0.474	3.54E-12
0.475	3.82E-12
0.476	4.12E-12
0.477	4.45E-12
0.478	4.82E-12
0.479	5.21E-12
0.48	5.65E-12
0.481	6.12E-12
0.482	6.65E-12
0.483	7.23E-12
0.484	7.87E-12
0.485	8.58E-12
0.486	9.38E-12
0.487	1.03E-11
0.488	1.12E-11
0.489	1.23E-11
0.49	1.36E-11
0.491	1.50E-11
0.492	1.66E-11
0.493	1.84E-11
0.494	2.05E-11
0.495	2.28E-11
0.496	2.56E-11
