IonEnergy	de_dx_el	de_dx_nuc	range		long_strag	lateral_strag	
8.00000000	0.16990000	0.00031880	75.32000000	2.59000000	3.00000000
9.00000000	0.17120000	0.00028850	81.17000000	2.73000000	3.04000000
10.00000000	0.17180000	0.00026380	86.99000000	2.86000000	3.07000000
11.00000000	0.17170000	0.00024320	92.80000000	2.98000000	3.11000000
12.00000000	0.17120000	0.00022580	98.62000000	3.10000000	3.14000000
13.00000000	0.17040000	0.00021080	104.46000000	3.21000000	3.17000000
14.00000000	0.16930000	0.00019780	110.34000000	3.32000000	3.20000000
15.00000000	0.16800000	0.00018640	116.26000000	3.43000000	3.22000000
16.00000000	0.16660000	0.00017630	122.23000000	3.54000000	3.25000000
17.00000000	0.16500000	0.00016740	128.26000000	3.64000000	3.28000000
18.00000000	0.16330000	0.00015930	134.34000000	3.75000000	3.31000000
20.00000000	0.15980000	0.00014540	146.71000000	4.14000000	3.36000000
22.50000000	0.15520000	0.00013130	162.57000000	4.72000000	3.42000000
25.00000000	0.15060000	0.00011980	178.91000000	5.27000000	3.49000000
27.50000000	0.14600000	0.00011030	195.76000000	5.79000000	3.55000000
30.00000000	0.14160000	0.00010220	213.13000000	6.29000000	3.62000000
32.50000000	0.13730000	0.00009531	231.05000000	6.79000000	3.69000000
35.00000000	0.13320000	0.00008932	249.52000000	7.29000000	3.76000000
37.50000000	0.12990000	0.00008408	268.52000000	7.77000000	3.83000000
40.00000000	0.12650000	0.00007946	288.01000000	8.25000000	3.90000000
45.00000000	0.11920000	0.00007165	328.72000000	10.08000000	4.06000000
50.00000000	0.11320000	0.00006530	371.75000000	11.78000000	4.22000000
55.00000000	0.10780000	0.00006004	416.99000000	13.42000000	4.39000000
60.00000000	0.10300000	0.00005560	464.42000000	15.02000000	4.57000000
65.00000000	0.09852000	0.00005180	514.06000000	16.59000000	4.76000000
70.00000000	0.09446000	0.00004851	565.87000000	18.15000000	4.96000000
80.00000000	0.08733000	0.00004309	675.96000000	23.93000000	5.40000000
90.00000000	0.08124000	0.00003881	794.68000000	29.26000000	5.87000000
100.00000000	0.07598000	0.00003534	921.95000000	34.37000000	6.39000000
110.00000000	0.07136000	0.00003246	1060.00000000	39.39000000	6.95000000
120.00000000	0.06728000	0.00003004	1200.00000000	44.39000000	7.55000000
130.00000000	0.06362000	0.00002797	1350.00000000	49.40000000	8.19000000
140.00000000	0.06033000	0.00002617	1520.00000000	54.44000000	8.86000000
150.00000000	0.05734000	0.00002461	1690.00000000	59.54000000	9.58000000
